#{"t_start": 1751987093.783757, "env_id": "None"}
r,l,t
-73216.814689,16151,35.652422
-72328.282777,16151,49.645546
-72411.03057,16151,62.602056
-72464.763489,16151,75.770851
-72387.296834,16151,91.461973
-72319.7464,16151,105.122451
-72222.231258,16151,126.087476
-71745.661991,16151,146.79709
-70325.51552,16151,162.80578
-68391.469309,16151,177.00209
-67305.736847,16151,189.131003
-67016.319587,16151,202.587175
-65922.143569,16151,214.986531
-66258.402962,16151,227.252893
-65465.855193,16151,239.791547
-64589.438511,16151,251.399194
-64274.57805,16151,266.298292
-64455.260628,16151,281.382218
-64593.418227,16151,296.363771
-63624.401991,16151,310.066791
-64517.042389,16151,323.403674
-64522.9332,16151,337.470087
-63599.855036,16151,351.820169
-63670.962682,16151,366.589919
-63639.445674,16151,383.461041
-64233.633094,16151,398.178999
-64030.129441,16151,418.634689
-63027.016561,16151,434.20431
-63529.59769,16151,448.71507
-62992.832093,16151,463.824048
-62667.474603,16151,480.297303
-62201.327052,16151,494.790259
-61350.288475,16151,509.533893
-61499.990301,16151,522.330642
-61124.054734,16151,541.153243
-61410.602748,16151,556.307264
-61115.176232,16151,576.506474
-60950.581617,16151,591.931742
-61116.913577,16151,606.43086
-61114.600792,16151,626.43563
-61089.162559,16151,643.11091
-60641.773208,16151,661.070116
-60252.159517,16151,674.575392
-60644.433095,16151,688.652932
-59932.957599,16151,700.825106
-60324.011131,16151,713.274484
-60409.198512,16151,724.415193
-60750.796987,16151,735.668172
-60105.7881,16151,748.526048
-59874.167225,16151,762.650056
-60283.848372,16151,775.755166
-59889.186553,16151,788.39266
-59764.352626,16151,801.347269
-60113.993651,16151,813.32504
-59834.47589,16151,825.346308
-60100.610602,16151,838.304131
-59889.256794,16151,850.668402
-60476.7863,16151,864.82117
-60176.793048,16151,878.06658
-60556.4548,16151,893.168744
-60543.05053,16151,907.492652
-60155.317784,16151,923.864227
-60415.126162,16151,937.086982
-61275.345614,16151,952.218317
-60448.610207,16151,966.30556
-60133.992256,16151,980.692055
-59869.261845,16151,995.119115
-59448.478504,16151,1008.170038
-59693.917359,16151,1024.401343
-59750.147006,16151,1038.691107
-59134.710801,16151,1055.633993
-59262.375539,16151,1070.250312
-59607.256333,16151,1084.315567
-59918.290729,16151,1098.960133
-59895.862427,16151,1112.327617
-59838.402619,16151,1125.287234
-59855.82496,16151,1140.30829
-59192.455292,16151,1154.34959
-58646.855815,16151,1170.921303
-58955.378106,16151,1185.327554
-58585.450928,16151,1201.398091
-57709.817727,16151,1215.51609
-57599.202474,16151,1230.272001
-57254.605664,16151,1242.03347
-58245.130028,16151,1254.892257
-58318.125411,16151,1267.492899
-58109.467203,16151,1279.432962
-57614.354982,16151,1290.861721
-57267.247351,16151,1302.863273
-57248.159407,16151,1316.453503
-57846.946689,16151,1333.180302
-58124.548618,16151,1357.429727
-57252.651471,16151,1372.506359
-57315.425292,16151,1384.850654
-58086.779989,16151,1396.744251
-56485.877261,16151,1409.469739
-56523.979944,16151,1421.205297
-57305.038127,16151,1439.57215
-57435.908617,16151,1461.835585
-56943.441914,16151,1479.314389
-57217.953747,16151,1496.475919
-57705.50573,16151,1520.617813
-58809.445524,16151,1541.620096
-58586.094456,16151,1554.684726
-58308.191622,16151,1571.887674
-58898.170865,16151,1586.478617
-58649.038178,16151,1598.586436
-58323.228685,16151,1612.585542
-58723.386916,16151,1627.584296
-58748.218221,16151,1642.559645
-59020.398938,16151,1655.362729
-58753.648476,16151,1668.636502
-58146.7236,16151,1680.907021
-57981.437856,16151,1692.596481
-58085.075961,16151,1704.921884
-58398.701982,16151,1716.589948
-58369.459047,16151,1728.329989
-58095.406203,16151,1740.233187
-58457.046349,16151,1751.545675
-58568.344498,16151,1763.430609
-58103.363418,16151,1774.883921
-57543.903582,16151,1786.414324
-57265.883482,16151,1800.79046
-57288.995079,16151,1815.020771
-57318.060924,16151,1829.063771
-56620.616604,16151,1843.704176
-56467.165909,16151,1858.307322
-56244.608369,16151,1871.650573
-56678.313434,16151,1886.188588
-56833.151989,16151,1902.85231
-56755.881692,16151,1918.078919
-56878.447257,16151,1934.503879
-57195.65398,16151,1948.266172
-56658.158567,16151,1959.952418
-56594.442002,16151,1972.53687
-56616.719638,16151,1984.987871
-55909.44141,16151,1997.803819
-55901.329154,16151,2015.159086
-56033.943969,16151,2030.699116
-56577.57779,16151,2044.210046
-56776.97971,16151,2057.368187
-56978.004483,16151,2071.462649
-56551.619916,16151,2086.775663
-56790.594743,16151,2101.199245
-56758.245822,16151,2114.429451
-57204.400583,16151,2129.221323
-56930.265582,16151,2143.728419
-56754.430741,16151,2159.645173
-56448.654318,16151,2173.16497
-56436.512234,16151,2188.145825
-56497.38454,16151,2200.720493
-56309.405763,16151,2214.81239
-56340.270459,16151,2228.035871
-55937.760878,16151,2243.223247
-55639.366956,16151,2256.989638
-55841.880248,16151,2271.846632
-56409.298296,16151,2284.753206
-55833.651702,16151,2297.504866
-55722.042924,16151,2311.959716
-55072.870544,16151,2325.429631
-54816.025733,16151,2339.358091
-55276.480868,16151,2353.558546
-55427.086336,16151,2372.378034
-55870.889184,16151,2389.02801
-56042.322346,16151,2401.569801
-55695.484427,16151,2415.118128
-56097.933299,16151,2428.418685
-55859.943888,16151,2441.815301
-56428.58067,16151,2458.735666
-56341.610658,16151,2473.414084
-56261.848472,16151,2494.983422
-56639.741433,16151,2512.045389
-56610.629356,16151,2524.566844
-56708.717829,16151,2540.175761
-56925.863011,16151,2554.537254
-56950.071311,16151,2567.627016
-56150.022378,16151,2581.854669
-56119.877644,16151,2597.339929
-55987.569647,16151,2611.131595
-56332.962944,16151,2624.145659
-56575.292319,16151,2640.315046
-56596.982164,16151,2655.055383
-56604.76574,16151,2670.358626
-56401.629606,16151,2682.171098
-56528.25576,16151,2694.779816
